cve_id,cve_description,clean_cve_text
CVE-2009-1048,"The web interface on the snom VoIP phones snom 300, snom 320, snom 360, snom 370, and snom 820 with firmware 6.5 before 6.5.20, 7.1 before 7.1.39, and 7.3 before 7.3.14 allows remote attackers to bypass authentication, and reconfigure the phone or make arbitrary use of the phone, via a (1) http or (2) https request with 127.0.0.1 in the Host header.",the web interface on the snom voip phones snom 300 snom 320 snom 360 snom 370 and snom 820 with firmware 6 5 before 6 5 20 7 1 before 7 1 39 and 7 3 before 7 3 14 allows remote attackers to bypass authentication and reconfigure the phone or make arbitrary use of the phone via a 1 http or 2 https request with 127 0 0 1 in the host header
CVE-2009-1596,"Ignite Realtime Openfire before 3.6.5 does not properly implement the register.password (aka canChangePassword) console configuration setting, which allows remote authenticated users to bypass intended policy and change their own passwords via a passwd_change IQ packet.",ignite realtime openfire before 3 6 5 does not properly implement the register password aka canchangepassword console configuration setting which allows remote authenticated users to bypass intended policy and change their own passwords via a passwd change iq packet
CVE-2009-2168,"cpanel/login.php in EgyPlus 7ammel (aka 7ml) 1.0.1 and earlier sends a redirect to the web browser but does not exit when the supplied credentials are incorrect, which allows remote attackers to bypass authentication by providing arbitrary username and password parameters.",cpanel login php in egyplus 7ammel aka 7ml 1 0 1 and earlier sends a redirect to the web browser but does not exit when the supplied credentials are incorrect which allows remote attackers to bypass authentication by providing arbitrary username and password parameters
CVE-2009-2213,"The default configuration of the Security global settings on the Citrix NetScaler Access Gateway appliance with Enterprise Edition firmware 9.0, 8.1, and earlier specifies Allow for the Default Authorization Action option, which might allow remote authenticated users to bypass intended access restrictions.",the default configuration of the security global settings on the citrix netscaler access gateway appliance with enterprise edition firmware 9 0 8 1 and earlier specifies allow for the default authorization action option which might allow remote authenticated users to bypass intended access restrictions
CVE-2009-2382,admin.php in phpMyBlockchecker 1.0.0055 allows remote attackers to bypass authentication and gain administrative access by setting the PHPMYBCAdmin cookie to LOGGEDIN.,admin php in phpmyblockchecker 1 0 0055 allows remote attackers to bypass authentication and gain administrative access by setting the phpmybcadmin cookie to loggedin
CVE-2009-2422,"The example code for the digest authentication functionality (http_authentication.rb) in Ruby on Rails before 2.3.3 defines an authenticate_or_request_with_http_digest block that returns nil instead of false when the user does not exist, which allows context-dependent attackers to bypass authentication for applications that are derived from this example by sending an invalid username without a password.",the example code for the digest authentication functionality http authentication rb in ruby on rails before 2 3 3 defines an authenticate or request with http digest block that returns nil instead of false when the user does not exist which allows context dependent attackers to bypass authentication for applications that are derived from this example by sending an invalid username without a password
CVE-2009-3107,"Symantec Altiris Deployment Solution 6.9.x before 6.9 SP3 Build 430 does not properly restrict access to the listening port for the DBManager service, which allows remote attackers to bypass authentication and modify tasks or the Altiris Database via a connection to this service.",symantec altiris deployment solution 6 9 x before 6 9 sp3 build 430 does not properly restrict access to the listening port for the dbmanager service which allows remote attackers to bypass authentication and modify tasks or the altiris database via a connection to this service
CVE-2009-3231,"The core server component in PostgreSQL 8.3 before 8.3.8 and 8.2 before 8.2.14, when using LDAP authentication with anonymous binds, allows remote attackers to bypass authentication via an empty password.",the core server component in postgresql 8 3 before 8 3 8 and 8 2 before 8 2 14 when using ldap authentication with anonymous binds allows remote attackers to bypass authentication via an empty password
CVE-2009-3232,"pam-auth-update for PAM, as used in Ubuntu 8.10 and 9.4, and Debian GNU/Linux, does not properly handle an ""empty selection"" for system authentication modules in certain rare configurations, which causes any attempt to be successful and allows remote attackers to bypass authentication.",pam auth update for pam as used in ubuntu 8 10 and 9 4 and debian gnu linux does not properly handle an empty selection for system authentication modules in certain rare configurations which causes any attempt to be successful and allows remote attackers to bypass authentication
CVE-2009-3421,"login.php in Zenas PaoBacheca Guestbook 2.1, when register_globals is enabled, allows remote attackers to bypass authentication and gain administrative access by setting the login_ok parameter to 1.",login php in zenas paobacheca guestbook 2 1 when register globals is enabled allows remote attackers to bypass authentication and gain administrative access by setting the login ok parameter to 1
CVE-2017-14623,"In the ldap.v2 (aka go-ldap) package through 2.5.0 for Go, an attacker may be able to login with an empty password. This issue affects an application using this package if these conditions are met: (1) it relies only on the return error of the Bind function call to determine whether a user is authorized (i.e., a nil return value is interpreted as successful authorization) and (2) it is used with an LDAP server allowing unauthenticated bind.",in the ldap v2 aka go ldap package through 2 5 0 for go an attacker may be able to login with an empty password this issue affects an application using this package if these conditions are met 1 it relies only on the return error of the bind function call to determine whether a user is authorized i e a nil return value is interpreted as successful authorization and 2 it is used with an ldap server allowing unauthenticated bind
CVE-2020-0688,"A remote code execution vulnerability exists in Microsoft Exchange software when the software fails to properly handle objects in memory, aka 'Microsoft Exchange Memory Corruption Vulnerability'.",a remote code execution vulnerability exists in microsoft exchange software when the software fails to properly handle objects in memory aka microsoft exchange memory corruption vulnerability
CVE-2020-10148,"The SolarWinds Orion API is vulnerable to an authentication bypass that could allow a remote attacker to execute API commands. This vulnerability could allow a remote attacker to bypass authentication and execute API commands which may result in a compromise of the SolarWinds instance. SolarWinds Orion Platform versions 2019.4 HF 5, 2020.2 with no hotfix installed, and 2020.2 HF 1 are affected.",the solarwinds orion api is vulnerable to an authentication bypass that could allow a remote attacker to execute api commands this vulnerability could allow a remote attacker to bypass authentication and execute api commands which may result in a compromise of the solarwinds instance solarwinds orion platform versions 2019 4 hf 5 2020 2 with no hotfix installed and 2020 2 hf 1 are affected
CVE-2020-12812,"An improper authentication vulnerability in SSL VPN in FortiOS 6.4.0, 6.2.0 to 6.2.3, 6.0.9 and below may result in a user being able to log in successfully without being prompted for the second factor of authentication (FortiToken) if they changed the case of their username.",an improper authentication vulnerability in ssl vpn in fortios 6 4 0 6 2 0 to 6 2 3 6 0 9 and below may result in a user being able to log in successfully without being prompted for the second factor of authentication fortitoken if they changed the case of their username
CVE-2020-13927,"The previous default setting for Airflow's Experimental API was to allow all API requests without authentication, but this poses security risks to users who miss this fact. From Airflow 1.10.11 the default has been changed to deny all requests by default and is documented at https://airflow.apache.org/docs/1.10.11/security.html#api-authentication. Note this change fixes it for new installs but existing users need to change their config to default `[api]auth_backend = airflow.api.auth.backend.deny_all` as mentioned in the Updating Guide: https://github.com/apache/airflow/blob/1.10.11/UPDATING.md#experimental-api-will-deny-all-request-by-default",the previous default setting for airflow s experimental api was to allow all api requests without authentication but this poses security risks to users who miss this fact from airflow 1 10 11 the default has been changed to deny all requests by default and is documented at note this change fixes it for new installs but existing users need to change their config to default api auth backend airflow api auth backend deny all as mentioned in the updating guide
CVE-2021-21972,"The vSphere Client (HTML5) contains a remote code execution vulnerability in a vCenter Server plugin. A malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vCenter Server. This affects VMware vCenter Server (7.x before 7.0 U1c, 6.7 before 6.7 U3l and 6.5 before 6.5 U3n) and VMware Cloud Foundation (4.x before 4.2 and 3.x before 3.10.1.2).",the vsphere client html5 contains a remote code execution vulnerability in a vcenter server plugin a malicious actor with network access to port 443 may exploit this issue to execute commands with unrestricted privileges on the underlying operating system that hosts vcenter server this affects vmware vcenter server 7 x before 7 0 u1c 6 7 before 6 7 u3l and 6 5 before 6 5 u3n and vmware cloud foundation 4 x before 4 2 and 3 x before 3 10 1 2
CVE-2021-3116,before_upstream_connection in AuthPlugin in http/proxy/auth.py in proxy.py before 2.3.1 accepts incorrect Proxy-Authorization header data because of a boolean confusion (and versus or).,before upstream connection in authplugin in http proxy auth py in proxy py before 2 3 1 accepts incorrect proxy authorization header data because of a boolean confusion and versus or
CVE-2021-34523,"Microsoft Exchange Server Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-33768, CVE-2021-34470.",microsoft exchange server elevation of privilege vulnerability this cve id is unique from cve 2021 33768 cve 2021 34470
CVE-2021-35395,"Realtek Jungle SDK version v2.x up to v3.4.14B provides an HTTP web server exposing a management interface that can be used to configure the access point. Two versions of this management interface exists: one based on Go-Ahead named webs and another based on Boa named boa. Both of them are affected by these vulnerabilities. Specifically, these binaries are vulnerable to the following issues: - stack buffer overflow in formRebootCheck due to unsafe copy of submit-url parameter - stack buffer overflow in formWsc due to unsafe copy of submit-url parameter - stack buffer overflow in formWlanMultipleAP due to unsafe copy of submit-url parameter - stack buffer overflow in formWlSiteSurvey due to unsafe copy of ifname parameter - stack buffer overflow in formStaticDHCP due to unsafe copy of hostname parameter - stack buffer overflow in formWsc due to unsafe copy of 'peerPin' parameter - arbitrary command execution in formSysCmd via the sysCmd parameter - arbitrary command injection in formWsc via the 'peerPin' parameter Exploitability of identified issues will differ based on what the end vendor/manufacturer did with the Realtek SDK webserver. Some vendors use it as-is, others add their own authentication implementation, some kept all the features from the server, some remove some of them, some inserted their own set of features. However, given that Realtek SDK implementation is full of insecure calls and that developers tends to re-use those examples in their custom code, any binary based on Realtek SDK webserver will probably contains its own set of issues on top of the Realtek ones (if kept). Successful exploitation of these issues allows remote attackers to gain arbitrary code execution on the device.",realtek jungle sdk version v2 x up to v3 4 14b provides an http web server exposing a management interface that can be used to configure the access point two versions of this management interface exists one based on go ahead named webs and another based on boa named boa both of them are affected by these vulnerabilities specifically these binaries are vulnerable to the following issues stack buffer overflow in formrebootcheck due to unsafe copy of submit url parameter stack buffer overflow in formwsc due to unsafe copy of submit url parameter stack buffer overflow in formwlanmultipleap due to unsafe copy of submit url parameter stack buffer overflow in formwlsitesurvey due to unsafe copy of ifname parameter stack buffer overflow in formstaticdhcp due to unsafe copy of hostname parameter stack buffer overflow in formwsc due to unsafe copy of peerpin parameter arbitrary command execution in formsyscmd via the syscmd parameter arbitrary command injection in formwsc via the peerpin parameter exploitability of identified issues will differ based on what the end vendor manufacturer did with the realtek sdk webserver some vendors use it as is others add their own authentication implementation some kept all the features from the server some remove some of them some inserted their own set of features however given that realtek sdk implementation is full of insecure calls and that developers tends to re use those examples in their custom code any binary based on realtek sdk webserver will probably contains its own set of issues on top of the realtek ones if kept successful exploitation of these issues allows remote attackers to gain arbitrary code execution on the device
CVE-2021-37415,Zoho ManageEngine ServiceDesk Plus before 11302 is vulnerable to authentication bypass that allows a few REST-API URLs without authentication.,zoho manageengine servicedesk plus before 11302 is vulnerable to authentication bypass that allows a few rest api urls without authentication
CVE-2022-29951,"JTEKT TOYOPUC PLCs through 2022-04-29 mishandle authentication. They utilize the CMPLink/TCP protocol (configurable on ports 1024-65534 on either TCP or UDP) for a wide variety of engineering purposes such as starting and stopping the PLC, downloading and uploading projects, and changing configuration settings. This protocol does not have any authentication features, allowing any attacker capable of communicating with the port in question to invoke (a subset of) desired functionality.",jtekt toyopuc plcs through 2022 04 29 mishandle authentication they utilize the cmplink tcp protocol configurable on ports 1024 65534 on either tcp or udp for a wide variety of engineering purposes such as starting and stopping the plc downloading and uploading projects and changing configuration settings this protocol does not have any authentication features allowing any attacker capable of communicating with the port in question to invoke a subset of desired functionality
CVE-2022-29952,"Bently Nevada condition monitoring equipment through 2022-04-29 mishandles authentication. It utilizes the TDI command and data protocols (60005/TCP, 60007/TCP) for communications between the monitoring controller and System 1 and/or Bently Nevada Monitor Configuration (BNMC) software. These protocols provide configuration management and historical data related functionality. Neither protocol has any authentication features, allowing any attacker capable of communicating with the ports in question to invoke (a subset of) desired functionality.",bently nevada condition monitoring equipment through 2022 04 29 mishandles authentication it utilizes the tdi command and data protocols 60005 tcp 60007 tcp for communications between the monitoring controller and system 1 and or bently nevada monitor configuration bnmc software these protocols provide configuration management and historical data related functionality neither protocol has any authentication features allowing any attacker capable of communicating with the ports in question to invoke a subset of desired functionality
CVE-2022-30034,"Flower, a web UI for the Celery Python RPC framework, all versions as of 05-02-2022 is vulnerable to an OAuth authentication bypass. An attacker could then access the Flower API to discover and invoke arbitrary Celery RPC calls or deny service by shutting down Celery task nodes.",flower a web ui for the celery python rpc framework all versions as of 05 02 2022 is vulnerable to an oauth authentication bypass an attacker could then access the flower api to discover and invoke arbitrary celery rpc calls or deny service by shutting down celery task nodes
CVE-2022-30313,"Honeywell Experion PKS Safety Manager through 2022-05-06 has Missing Authentication for a Critical Function. According to FSCT-2022-0051, there is a Honeywell Experion PKS Safety Manager multiple proprietary protocols with unauthenticated functionality issue. The affected components are characterized as: Honeywell Experion TCP (51000/TCP), Safety Builder (51010/TCP). The potential impact is: Manipulate controller state, Manipulate controller configuration, Manipulate controller logic, Manipulate controller files, Manipulate IO. The Honeywell Experion PKS Distributed Control System (DCS) Safety Manager utilizes several proprietary protocols for a wide variety of functionality, including process data acquisition, controller steering and configuration management. These protocols include: Experion TCP (51000/TCP) and Safety Builder (51010/TCP). None of these protocols have any authentication features, allowing any attacker capable of communicating with the ports in question to invoke (a subset of) desired functionality. There is no authentication functionality on the protocols in question. An attacker capable of invoking the protocols' functionalities could achieve a wide range of adverse impacts, including (but not limited to), the following: for Experion TCP (51000/TCP): Issue IO manipulation commands, Issue file read/write commands; and for Safety Builder (51010/TCP): Issue controller start/stop commands, Issue logic download/upload commands, Issue file read commands, Issue system time change commands. A mitigating factor with regards to some, but not all, of the above functionality is that these require the Safety Manager physical keyswitch to be in the right position.",honeywell experion pks safety manager through 2022 05 06 has missing authentication for a critical function according to fsct 2022 0051 there is a honeywell experion pks safety manager multiple proprietary protocols with unauthenticated functionality issue the affected components are characterized as honeywell experion tcp 51000 tcp safety builder 51010 tcp the potential impact is manipulate controller state manipulate controller configuration manipulate controller logic manipulate controller files manipulate io the honeywell experion pks distributed control system dcs safety manager utilizes several proprietary protocols for a wide variety of functionality including process data acquisition controller steering and configuration management these protocols include experion tcp 51000 tcp and safety builder 51010 tcp none of these protocols have any authentication features allowing any attacker capable of communicating with the ports in question to invoke a subset of desired functionality there is no authentication functionality on the protocols in question an attacker capable of invoking the protocols functionalities could achieve a wide range of adverse impacts including but not limited to the following for experion tcp 51000 tcp issue io manipulation commands issue file read write commands and for safety builder 51010 tcp issue controller start stop commands issue logic download upload commands issue file read commands issue system time change commands a mitigating factor with regards to some but not all of the above functionality is that these require the safety manager physical keyswitch to be in the right position
CVE-2022-30317,"Honeywell Experion LX through 2022-05-06 has Missing Authentication for a Critical Function. According to FSCT-2022-0055, there is a Honeywell Experion LX Control Data Access (CDA) EpicMo protocol with unauthenticated functionality issue. The affected components are characterized as: Honeywell Control Data Access (CDA) EpicMo (55565/TCP). The potential impact is: Firmware manipulation, Denial of service. The Honeywell Experion LX Distributed Control System (DCS) utilizes the Control Data Access (CDA) EpicMo protocol (55565/TCP) for device diagnostics and maintenance purposes. This protocol does not have any authentication features, allowing any attacker capable of communicating with the ports in question to invoke (a subset of) desired functionality. There is no authentication functionality on the protocol in question. An attacker capable of invoking the protocols' functionalities could issue firmware download commands potentially allowing for firmware manipulation and reboot devices causing denial of service.",honeywell experion lx through 2022 05 06 has missing authentication for a critical function according to fsct 2022 0055 there is a honeywell experion lx control data access cda epicmo protocol with unauthenticated functionality issue the affected components are characterized as honeywell control data access cda epicmo 55565 tcp the potential impact is firmware manipulation denial of service the honeywell experion lx distributed control system dcs utilizes the control data access cda epicmo protocol 55565 tcp for device diagnostics and maintenance purposes this protocol does not have any authentication features allowing any attacker capable of communicating with the ports in question to invoke a subset of desired functionality there is no authentication functionality on the protocol in question an attacker capable of invoking the protocols functionalities could issue firmware download commands potentially allowing for firmware manipulation and reboot devices causing denial of service
CVE-2022-33139,"A vulnerability has been identified in Cerberus DMS (All versions), Desigo CC (All versions), Desigo CC Compact (All versions), SIMATIC WinCC OA V3.16 (All versions in default configuration), SIMATIC WinCC OA V3.17 (All versions in non-default configuration), SIMATIC WinCC OA V3.18 (All versions in non-default configuration). Affected applications use client-side only authentication, when neither server-side authentication (SSA) nor Kerberos authentication is enabled. In this configuration, attackers could impersonate other users or exploit the client-server protocol without being authenticated.",a vulnerability has been identified in cerberus dms all versions desigo cc all versions desigo cc compact all versions simatic wincc oa v3 16 all versions in default configuration simatic wincc oa v3 17 all versions in non default configuration simatic wincc oa v3 18 all versions in non default configuration affected applications use client side only authentication when neither server side authentication ssa nor kerberos authentication is enabled in this configuration attackers could impersonate other users or exploit the client server protocol without being authenticated
CVE-2022-35248,"A improper authentication vulnerability exists in Rocket.Chat <v5, <v4.8.2 and <v4.7.5 that allowed two factor authentication can be bypassed when telling the server to use CAS during login.",a improper authentication vulnerability exists in rocket chat v5 v4 8 2 and v4 7 5 that allowed two factor authentication can be bypassed when telling the server to use cas during login
CVE-2022-36436,OSU Open Source Lab VNCAuthProxy through 1.1.1 is affected by an vncap/vnc/protocol.py VNCServerAuthenticator authentication-bypass vulnerability that could allow a malicious actor to gain unauthorized access to a VNC session or to disconnect a legitimate user from a VNC session. A remote attacker with network access to the proxy server could leverage this vulnerability to connect to VNC servers protected by the proxy server without providing any authentication credentials. Exploitation of this issue requires that the proxy server is currently accepting connections for the target VNC server.,osu open source lab vncauthproxy through 1 1 1 is affected by an vncap vnc protocol py vncserverauthenticator authentication bypass vulnerability that could allow a malicious actor to gain unauthorized access to a vnc session or to disconnect a legitimate user from a vnc session a remote attacker with network access to the proxy server could leverage this vulnerability to connect to vnc servers protected by the proxy server without providing any authentication credentials exploitation of this issue requires that the proxy server is currently accepting connections for the target vnc server
CVE-2014-1266,"The SSLVerifySignedServerKeyExchange function in libsecurity_ssl/lib/sslKeyExchange.c in the Secure Transport feature in the Data Security component in Apple iOS 6.x before 6.1.6 and 7.x before 7.0.6, Apple TV 6.x before 6.0.2, and Apple OS X 10.9.x before 10.9.2 does not check the signature in a TLS Server Key Exchange message, which allows man-in-the-middle attackers to spoof SSL servers by (1) using an arbitrary private key for the signing step or (2) omitting the signing step.",the sslverifysignedserverkeyexchange function in libsecurity ssl lib sslkeyexchange c in the secure transport feature in the data security component in apple ios 6 x before 6 1 6 and 7 x before 7 0 6 apple tv 6 x before 6 0 2 and apple os x 10 9 x before 10 9 2 does not check the signature in a tls server key exchange message which allows man in the middle attackers to spoof ssl servers by 1 using an arbitrary private key for the signing step or 2 omitting the signing step
CVE-2001-1125,"Symantec LiveUpdate before 1.6 does not use cryptography to ensure the integrity of download files, which allows remote attackers to execute arbitrary code via DNS spoofing of the update.symantec.com site.",symantec liveupdate before 1 6 does not use cryptography to ensure the integrity of download files which allows remote attackers to execute arbitrary code via dns spoofing of the update symantec com site
CVE-2002-0671,"Pingtel xpressa SIP-based voice-over-IP phone 1.2.5 through 1.2.7.4 downloads phone applications from a web site but can not verify the integrity of the applications, which could allow remote attackers to install Trojan horse applications via DNS spoofing.",pingtel xpressa sip based voice over ip phone 1 2 5 through 1 2 7 4 downloads phone applications from a web site but can not verify the integrity of the applications which could allow remote attackers to install trojan horse applications via dns spoofing
CVE-2008-3324,"The PartyGaming PartyPoker client program 121/120 does not properly verify the authenticity of updates, which allows remote man-in-the-middle attackers to execute arbitrary code via a Trojan horse update.",the partygaming partypoker client program 121 120 does not properly verify the authenticity of updates which allows remote man in the middle attackers to execute arbitrary code via a trojan horse update
